Trad,Pron,Becomes
actino,aktInoU,aktIn@#
actino,akt@noU,aktIn@#
aero,e@oU,e@@#
anthropo,anTr@poU,anTr@p@#
astro,astroU,astr@#
electro,IlEktroU,IlEktr@#
epi,Ep@,EpI
epi,Ip'I,Ep'I
epi,IpI,EpI
ethyl,'ET@l,'ETIl
figur,f'Igj@`,f'Ig@`
figur,fIgj@`,fIg@`
configur,k@nf'Igj@`,k@nf'Ig@`
configur,k@nfIgj@`,k@nfIg@`
galvano,g'alv@noU,g'alv@n@#
galvano,galv@noU,galv@n@#
hetero,hEt@`oU,hEt@`@#
hypo,haIpoU,haIp@#
lepto,lEptoU,lEpt@#
methyl,mET@l,mETIl
paleo,p'eIli:@,p'ali:@
paleo,peIli:@,pali:@
pharmaco,fArm@k,fArma#k
roent,r'Ent,r'Qnt
roent,rEnt,rQnt
