Word,Tags
ablative,aj+n
abstracts,n+v
abuses,n+v
accents,n+v
addicts,n+v
addresses,n+v
adduct,n+v
advocates,n+v
affects,n+v
affiliates,n+v
affixes,n+v
agape,aj+n
allies,n+v
alloys,n+v
alternates,n+v
annexes,n+v
associates,n+v
attributes,n+v
august,aj+n
certificates,n+v
closes,n+v
collect,n+v
collects,n+v
combats,n+v
combines,n+v
communes,n+v
compact,n+v
compacts,n+v
complements,n+v
compliments,n+v
compresses,n+v
concave,n+v
concert,aj+n+v
concerts,n+v
conducts,n+v
conflicts,n+v
congresses,n+v
conjugates,n+v
conscripts,n+v
consists,n+v
console,n+v
consoles,n+v
constructs,n+v
content,n+v
contents,n+v
contests,n+v
contracts,n+v
contrasts,n+v
converses,n+v
converts,n+v
convicts,n+v
convoys,n+v
coordinates,n+v
costumes,n+v
counterattacks,n+v
counterbalances,n+v
countercharges,n+v
counterclaims,n+v
countermoves,n+v
curate,n+v
decreases,n+v
defects,n+v
delegates,n+v
desert,aj+n+v
deserts,n+v
details,n+v
deviates,n+v
dictates,n+v
digests,n+v
discounts,n+v
discourses,n+v
documents,n+v
effects,n+v
escorts,n+v
essays,n+v
estimates,n+v
excerpts,n+v
excises,n+v
excuses,n+v
expatriates,n+v
experiments,n+v
exports,n+v
extracts,n+v
eyewitnesses,n+v
ferment,n+v
ferments,n+v
graduate,aj+n+v
graduates,n+v
handcrafts,n+v
houses,n+v
impacts,n+v
implants,n+v
implements,n+v
imports,n+v
impresses,n+v
imprints,n+v
increases,n+v
initiates,n+v
inserts,n+v
insults,n+v
intercepts,n+v
interrupt,n+v
interrupts,n+v
intimate,aj+v
intrigues,n+v
invalid,aj+n
invites,n+v
isolates,n+v
items,n+v
laminates,n+v
leads,n+v
live,aj+v
mandates,n+v
matriculates,n+v
minute,aj+n
misfire,n+v
moderates,n+v
mouse,n+v
mouths,n+v
objects,n+v
offsets,n+v
ornaments,n+v
overestimate,n+v
overlaps,n+v
perfumes,n+v
permits,n+v
perverts,n+v
preconcert,aj+v
predicates,n+v
presages,n+v
presents,n+v
proceeds,n+v
produces,n+v
progresses,n+v
projects,n+v
protests,n+v
purports,n+v
rampages,n+v
rebels,n+v
records,n+v
redial,n+v
redo,n+v
reexport,n+v
reflex,aj+n+v
reflexes,n+v
regiments,n+v
reincarnate,aj+v
rejects,n+v
relays,n+v
remake,n+v
replay,n+v
resaw,n+v
segments,n+v
semipro,aj+n
separates,n+v
subjects,n+v
sublease,n+v
subordinate,aj+n+v
subordinates,n+v
survey,n+v
surveys,n+v
suspects,n+v
syndicates,n+v
tear,n+v
tears,n+v
torments,n+v
transfers,n+v
transports,n+v
uncleanly,aj+av
understeer,n+v
upgrades,n+v
uses,n+v
warehouses,n+v
winds,n+v
